type,title,director,cast,country,release_year,rating,duration,listed_in
Movie,Kara Bela,Burak Aksak,"Cengiz Bozkurt, Seda Bakan, Erkan Kolçak Köstendil, Cihan Ercan, Berat Yenilmez, İştar Gökseven, Erdal Tosun, Tarık Ünlüoğlu",Turkey,2015,TV-MA,101 min,"Comedies, International Movies"
Movie,Kocan Kadar Konus,Kıvanç Baruönü,"Ezgi Mola, Murat Yıldırım, Gülenay Kalkan, Ebru Cündübeyoğlu, Eda Ece, Begüm Öner, Gül Arıcı, Muhammet Uzuner",Turkey,2015,TV-MA,104 min,"Comedies, International Movies, Romantic Movies"
Movie,Kocan Kadar Konus 2: Dirilis,Kıvanç Baruönü,"Ezgi Mola, Murat Yıldırım, Gülenay Kalkan, Nevra Serezli, Eda Ece",Turkey,2016,TV-14,104 min,"Comedies, International Movies, Romantic Movies"
TV Show,Let's Fight Ghost,Kongkiat Khomsiri,"Suppapong Udomkaewkanjana, Patchanan Jiajirachote, Thongpoom Siripipat, Apiwit Reardon, Kornrawich Sungkitbool, Waratthaya Wongchayaporn, Wannasak Sirilar",Thailand,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,My Travel Buddy,Bedran Güzel,"Oğuzhan Koç, İbrahim Büyükak, Emre Kınay, Aslı Bekiroğlu, Eda Ece, Bahar Şahin, Muharrem Bayrak, Toygan Avanoğlu",Turkey,2017,TV-MA,111 min,"Comedies, International Movies"
Movie,Niyazi Gül Dörtnala,Hakan Algül,"Ata Demirer, Demet Akbağ, Şebnem Bozoklu, Levent Ülgen",Turkey,2015,TV-MA,102 min,"Comedies, International Movies"
Movie,One Like It,Marwan Nabil,"Riham Abdel Ghafour, Mohammed Aly Rizk, Hazem Samir, Salwa Othman, Mahmoud Gharib",Egypt,2020,TV-G,15 min,"Dramas, Independent Movies, International Movies"
Movie,This Lady Called Life,Kayode Kasum,"Bisola Aiyeola, Efa Iwara, Molawa Onajobi, Tina Mba, Wale Ojo, Jemima Osunde, Lota Chukwu, Samuel Asa'ah, Michael Ejoor, Uche Elumelu",Nigeria,2020,TV-14,120 min,"Dramas, International Movies, Romantic Movies"
Movie,Vizontele,"Yılmaz Erdoğan, Ömer Faruk Sorak","Yılmaz Erdoğan, Demet Akbağ, Altan Erkekli, Cem Yılmaz, Cezmi Baskın, Bican Günalan, Sebnem Sönmez, İclal Aydın, Mesut Çakarli, Zeynep Tokuş",Turkey,2001,TV-MA,106 min,"Comedies, Dramas, International Movies"
Movie,HOMUNCULUS,Takashi Shimizu,"Go Ayano, Ryo Narita, Yukino Kishii, Anna Ishii, Seiyo Uchino",Japan,2021,TV-MA,116 min,"Horror Movies, International Movies, Thrillers"
Movie,Stowaway,Joe Penna,"Anna Kendrick, Toni Collette, Daniel Dae Kim, Shamier Anderson","Germany, United States",2021,TV-MA,116 min,"Dramas, International Movies, Thrillers"
Movie,Oloibiri,Curtis Graham,"Olu Jacobs, Richard Mofe-Damijo, William R. Moses, Taiwo Ajai-Lycett, Ifeanyi Williams, Ivie Okujaye, Dayton Sinkia, Bradley Gordon","Canada, Nigeria, United States",2015,TV-14,86 min,"Dramas, International Movies, Thrillers"
Movie,Tell Me When,Gerardo Gatica,"Jesús Zavala, Ximena Romo, Verónica Castro, José Carlos Ruiz, Gabriel Nuncio, Rosa María Bianchi, Héctor Bonilla, Andrés Almeida",Mexico,2021,TV-MA,97 min,"Comedies, International Movies"
Movie,Miss Sloane,John Madden,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw, Michael Stuhlbarg, Raoul Bhaneja, John Lithgow, Sam Waterston, Chuck Shamata, Jake Lacy, Alison Pill, David Wilson Barnes","France, United States, United Kingdom, Canada",2016,R,132 min,Thrillers
Movie,American Me,Edward James Olmos,"Edward James Olmos, William Forsythe, Pepe Serna, Danny De La Paz, Evelina Fernandez, Cary-Hiroyuki Tagawa, Daniel Villarreal, Sal Lopez, Daniel Haro, Domingo Ambriz",United States,1992,R,126 min,Dramas
Movie,Delhi Belly,Abhinay Deo,"Imran Khan, Vir Das, Kunaal Roy Kapur, Poorna Jagannathan, Shenaz Treasury, Vijay Raaz, Paresh Ganatra, Rahul Singh",India,2011,TV-MA,101 min,"Action & Adventure, Comedies, International Movies"
Movie,Dhobi Ghat (Mumbai Diaries),Kiran Rao,"Aamir Khan, Monica Dogra, Kriti Malhotra, Prateik Babbar, Aasha Pawar, Jyoti Pawar, Norma Lobo, Kitu Gidwani, Danish Husain, Jehan Manekshaw",India,2010,TV-MA,102 min,"Dramas, International Movies"
Movie,Jaane Tu... Ya Jaane Na,Abbas Tyrewala,"Imran Khan, Genelia D'Souza, Manjari Fadnis, Ayaz Khan, Prateik Babbar, Ratna Pathak Shah, Arbaaz Khan, Sohail Khan",India,2008,TV-14,147 min,"Comedies, International Movies, Music & Musicals"
Movie,Lagaan,Ashutosh Gowariker,"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Kulbhushan Kharbanda, Raghuvir Yadav, Yashpal Sharma, Rajendranath Zutshi, Rajesh Vivek, Aditya Lakhia","India, United Kingdom",2001,PG,224 min,"Dramas, International Movies, Music & Musicals"
Movie,Madness in the Desert,Satyajit Bhatkal,"Aamir Khan, Ashutosh Gowariker",India,2004,TV-14,141 min,"Documentaries, International Movies"
Movie,Peepli Live,"Anusha Rizvi, Mahmood Farooqui","Omkar Das Manikpuri, Raghuvir Yadav, Malaika Shenoy, Nawazuddin Siddiqui, Naseeruddin Shah, Sitaram Panchal, Shalini Vatsa, Farrukh Jaffar, Aamir Bashir, Vishal Om Prakash",India,2010,TV-MA,109 min,"Comedies, Dramas, Independent Movies"
Movie,Taare Zameen Par,Aamir Khan,"Aamir Khan, Darsheel Safary, Tanay Chheda, Tisca Chopra, Vipin Sharma, Girija Oak, M.K. Raina",India,2007,PG,162 min,"Dramas, International Movies"
Movie,Ajeeb Daastaans,"Shashank Khaitan, Raj Mehta, Neeraj Ghaywan, Kayoze Irani","Fatima Sana Shaikh, Jaideep Ahlawat, Armaan Ralhan, Nushrat Bharucha, Abhishek Banerjee, Inayat Verma, Konkona Sen Sharma, Aditi Rao Hydari, Shefali Shah, Manav Kaul, Tota Roy Chowdhury",India,2021,TV-MA,142 min,"Dramas, Independent Movies, International Movies"
Movie,Arlo the Alligator Boy,Ryan Crego,"Michael J. Woodard, Mary Lambert, Brett Gelman, Jonathan Van Ness, Tony Hale, Haley Tju, Annie Potts, Vincent Rodriguez III, Flea, Jennifer Coolidge",United States,2021,TV-Y7,93 min,"Children & Family Movies, Comedies, Music & Musicals"
Movie,Barbie & Chelsea: The Lost Birthday,Cassi Simonds,"America Young, Cassidy Naber, Kirsten Day, Cassandra Morris, Lisa Fuson, Greg Chun, Benjamin Pronsky, Laila Berzins, Nakia Burrise, Jacob Craner",United States,2021,TV-Y,60 min,Children & Family Movies
Movie,Crimson Peak,Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam, Jim Beaver, Burn Gorman, Leslie Hope, Doug Jones, Jonathan Hyde, Bruce Gray","Canada, United States, Mexico",2015,R,119 min,"Horror Movies, Romantic Movies, Sci-Fi & Fantasy"
Movie,Doctor Bello,Tony Abulu,"Isaiah Washington, Vivica A. Fox, Jimmy Jean-Louis, Genevieve Nnaji, Stephanie Okereke, Justus Esiri, Ebbe Bassey, Jon Freda, Evan Brinkman",United States,2013,TV-MA,96 min,"Dramas, International Movies"
Movie,Four Sisters Before the Wedding,Mae Czarina Cruz,"Alexa Ilacad, Charlie Dizon, Gillian Vicencio, Belle Mariano, Dominic Ochoa, Carmina Villaroel, Irma Adlawan, Kakai Bautista, Cai Cortez, Jameson Blake, Joao Constancia, Jeremiah Lisbo, Clarence Delgado, Pinky Amador, Minnie Aguilar, Gigi De Lana, Toni Gonzaga, Bea Alonzo, Angel Locsin, Shaina Magdayao, Enchong Dee",Philippines,2020,TV-MA,116 min,"Children & Family Movies, Comedies, Dramas"
Movie,Into the Beat,Stefan Westerwelle,"Alexandra Pfeifer, Yalany Marschner, Trystan Pütter, Helen Schneider, Julius Nitschkoff, Dennis Kyere, Ina Geraldine Guy, Katrin Pollitt, Julia Strowski, Anton Wichers",Germany,2020,TV-14,102 min,"Dramas, International Movies, Romantic Movies"
Movie,Rush,Ron Howard,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, David Calder, Natalie Dormer, Stephen Mangan, Christian McKay, Alistair Petrie","United Kingdom, Germany, United States",2013,R,123 min,"Action & Adventure, Dramas, International Movies"
Movie,Synchronic,"Justin Benson, Aaron Moorhead","Anthony Mackie, Jamie Dornan, Katie Aselton, Ally Ioannides, Ramiz Monsef, Bill Oberst Jr.",United States,2020,R,102 min,Thrillers
Movie,The Zookeeper's Wife,Niki Caro,"Jessica Chastain, Johan Heldenbergh, Daniel Brühl, Timothy Radford, Efrat Dor, Iddo Goldberg, Shira Haas, Michael McElhatton, Val Maloku, Goran Kostic","Czech Republic, United Kingdom, United States",2017,PG-13,127 min,Dramas
Movie,Time Trap,"Mark Dennis, Ben Foster","Andrew Wilson, Cassidy Gifford, Brianne Howey, Reiley McClendon, Olivia Draguicevich, Max Wright, Hans Marrero, Rich Skidmore, Chris Sturgeon, Gopal Bidari",United States,2017,TV-14,88 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,Tuesdays & Fridays,Taranveer Singh,"Anmol Thakeria Dhillon, Jhataleka, Niki Walia, Kamini Khanna, Zoa Morani, Nayan Shukla, Eklavyey Kashyap, Reem Shaikh",India,2021,TV-14,106 min,"Comedies, Dramas, International Movies"
Movie,Dark City Beneath the Beat,TT The Artist,"Uneek, Mighty Mark, Tsu Terry, TT The Artist",United States,2020,TV-MA,65 min,"Documentaries, Music & Musicals"
Movie,GANTZ:O,"Keiichi Sato, Yasushi Kawamura","Daisuke Ono, M・A・O, Tomohiro Kaku, Saori Hayami, Shuichi Ikeda, Kendo Kobayashi, Razor Ramon RG, Razor Ramon HG, Masane Tsukayama, Masaya Onosaka, Kenjiro Tsuda, Teruaki Ogawa, Hisanori Yoshida, Yuki Kaji",Japan,2016,TV-MA,96 min,"Action & Adventure, Anime Features, Horror Movies"
TV Show,Garth Brooks: The Road I’m On,Glenn Weiss,Garth Brooks,United States,2019,TV-PG,1 Season,Docuseries
Movie,Only Mine,Michael Civille,"Amber Midthunder, Brett Zimmerman, Chris Browning, Walter Fauntleroy, Claudia Ferri, Lorenzo James Henrie, Ellen Wroe, Ashley Holliday Tavares, Nancy Linehan Charles, Jonna Walsh",United States,2019,TV-14,88 min,Thrillers
Movie,Ride or Die,Ryuichi Hiroki,"Kiko Mizuhara, Honami Sato, Yoko Maki, Anne Suzuki, Tetsushi Tanaka, Sara Minami, Yui Uemura, Shinya Niiro, Shunsuke Tanaka, Setsuko Karasuma",Japan,2021,TV-MA,143 min,"Dramas, International Movies, LGBTQ Movies"
Movie,The Master,Paul Thomas Anderson,"Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams, Laura Dern, Kevin J. O'Connor, Jesse Plemons, Rami Malek, Christopher Evan Welch, Madisen Beaty, Ambyr Childers, Price Carson",United States,2012,R,137 min,"Dramas, Independent Movies"
Movie,Time Is Illmatic,One9,"Nasir 'Nas' Jones, Busta Rhymes, Pete Rock, Pharrell Williams, Q-Tip, Swizz Beatz, Alicia Keys, DJ Premier",United States,2014,TV-MA,75 min,"Documentaries, Music & Musicals"
Movie,Zoot Suit,Luis Valdez,"Daniel Valdez, Edward James Olmos, Charles Aidman, Tyne Daly, John Anderson, Abel Franco, Mike Gomez, Francis X. McCarthy, Alma Martínez, Lupe Ontiveros, Tony Plana",United States,1981,R,103 min,"Cult Movies, Dramas, Music & Musicals"
Movie,The Soul,Cheng Wei-hao,"Chang Chen, Janine Chang, Christopher Lee, Anke Sun, Lin Hui-min, Samuel Ku, Zhang Bojia, Lu Hsueh-feng","China, Taiwan",2021,TV-MA,130 min,"Dramas, International Movies, Thrillers"
TV Show,The Underclass,Pass Patthanakumjon,"Nannaphas Loetnamchoetsakun, Praewa Suthamphong, Sumitra Duangkaew, Tanutchai Wijitvongtong, Tarisa Preechatangkit, Natticha Chantaravareelekha, Miori Ohkubo, Pakwan Noijaiboon, Napaphat Worraphuttanon, Vathusiri Phuwapunyasiri, Rinrada Inthaisong, Suchaya Saenkhot, Mananya Kaoju, Kandis Wanarun, Ekapol Deebunmee, Panta Pattanaampaiwong, Rachaya Tupkunanon, Supasawad Buranawech, Thitirat Rojsangrat, Sawanee Utoomma, Phattharanarin Mueanarit, Chanyapuk Numprasop",Thailand,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, Teen TV Shows"
Movie,Uppena,Buchi Babu Sana,"Panja Vaisshnav Tej, Krithi Shetty, Vijay Sethupathi",India,2020,TV-14,145 min,"Dramas, International Movies, Romantic Movies"
Movie,New Gods: Nezha Reborn,Zhao Ji,"Yang Tianxiang, Zhang He, Xuan Xiaoming, Li Shimeng",China,2021,TV-14,118 min,"Action & Adventure, Anime Features, International Movies"
Movie,The Stand-In,Jamie Babbit,"Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor, Ellie Kemper, Andrew Rannells, Michelle Buteau",United States,2020,R,102 min,Comedies
Movie,Night in Paradise,Park Hoon-jung,"Um Tae-goo, Jeon Yeo-been, Cha Seoung-won, Lee Ki-young, Park Ho-san",South Korea,2021,TV-MA,132 min,"Dramas, International Movies"
Movie,Ojukokoro: Greed,Dare Olaitan,"Seun Ajayi, Zainab Balogun, Sammie Eddie, Linda Ejiofor, Charles Etubiebi, Shawn Faqua, Lord Frank, Ikubese Emmanuel Ifeanyi, Somkele Iyamah, Ali Nuhu, Wale Ojo",Nigeria,2016,TV-MA,108 min,"Dramas, International Movies, Thrillers"
Movie,Roohi,Hardik Mehta,"Rajkummar Rao, Varun Sharma, Janhvi Kapoor, Manav Vij, Sarita Joshi, Anuraag Arora, Alexx O'Nell, Rajesh Jais",India,2021,TV-14,133 min,"Comedies, Horror Movies, International Movies"
Movie,Thunder Force,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale, Pom Klementieff, Melissa Leo, Taylor Mosby, Marcella Lowery, Melissa Ponzio",United States,2021,PG-13,107 min,"Action & Adventure, Comedies"
Movie,Two Distant Strangers,"Travon Free, Martin Desmond Roe","Joey Bada$$, Andrew Howard, Zaria",United States,2021,TV-MA,32 min,Dramas
Movie,Story of Kale: When Someone's in Love,Angga Dwimas Sasongko,"Ardhito Pramono, Aurélie Moeremans, Arya Saloka, Roy Sungkono, Gilbert Pohan, Azizah Hanum, Tanta Ginting",Indonesia,2020,TV-PG,78 min,"Dramas, International Movies, Romantic Movies"
Movie,Mandela,Madonne Ashwin,"Yogi Babu, Sheela Rajkumar, Sangili Murugan, G. M. Sundhar",India,2021,TV-14,140 min,"Comedies, Dramas, International Movies"
Movie,The Fisherman's Diary,Enah Johnscott,"Kang Quintus, Faith Fidel, Casson Chinepoh, Ramsey Nouah, Ndamo Damaris, Neba Godwill Awantu, Onyama Laura, Prince Sube, Daphne Nije, Zoe Elora Ebai Mayohchu",Cameroon,2020,TV-MA,143 min,"Dramas, International Movies"
Movie,What Lies Below,Braden R. Duemmler,"Ema Horvath, Trey Tucker, Mena Suvari, Haskiri Velazquez, Danny Corbo, Olan Montgomery, Troy Iwata",United States,2020,TV-MA,88 min,"Horror Movies, Thrillers"
Movie,Escape from Planet Earth,Cal Brunker,"Rob Corddry, Brendan Fraser, Sarah Jessica Parker, William Shatner, Jessica Alba, Jane Lynch, George Lopez, Sofía Vergara, Craig Robinson, Ricky Gervais, Steve Zahn, Chris Parnell","United States, Canada",2013,PG,89 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
Movie,Accepted,Steve Pink,"Justin Long, Jonah Hill, Adam Herschman, Columbus Short, Maria Thayer, Lewis Black, Blake Lively, Mark Derwin, Ann Cusack, Robin Lord Taylor, Hannah Marks, Anthony Heald",United States,2006,PG-13,93 min,Comedies
Movie,Air Strike,Xiao Feng,"Bruce Willis, Liu Ye, Song Seung-heon, William Chan Wai-ting, Fan Wei, Wu Gang, Ma Su, Janine Chang, Che Yongli, Feng Yuanzheng, Geng Le",China,2018,R,97 min,"Action & Adventure, Dramas, International Movies"
Movie,An American Girl: McKenna Shoots for the Stars,Vince Marcello,"Jade Pettyjohn, Kerris Dorsey, Nia Vardalos, Ian Ziering, Ysa Penarejo, Cathy Rigby, Kally Berard, Talia Pura, Paula Rivera, George Chiang","United States, Canada",2012,TV-Y,94 min,"Children & Family Movies, Comedies, Dramas"
Movie,Concrete Cowboy,Ricky Staub,"Idris Elba, Caleb McLaughlin, Jharrel Jerome, Byron Bowers, Lorraine Toussaint, Method Man, Ivannah Mercedes, Jamil Prattis, Liz Priestley","United Kingdom, United States",2021,R,112 min,"Dramas, Independent Movies"
Movie,Cross: Rise of the Villains,"Patrick Durham, Paul G. Volk","Brian Austin Green, Vinnie Jones, Lori Heuring, Richard Grieco, Patrick Durham, Tim Abell, Carson Lee Bradshaw, Manu Intiraymi, Danny Trejo",United States,2019,R,100 min,Action & Adventure
Movie,God Calling,BB Sasore,"Zainab Balogun, Karibi Fubara, Diana Egwuatu, Richard Mofe-Damijo, Tina Mba, Onyeka Onwenu, Nkem Owoh, Patrick Diabuah, Ademola Adedoyin, Bikiya Graham Douglas",Nigeria,2018,TV-MA,120 min,"Dramas, Faith & Spirituality, International Movies"
Movie,Irul,Naseef Yusuf Izuddin,"Fahadh Faasil, Soubin Shahir, Darshana Rajendran",India,2021,TV-MA,91 min,"International Movies, Thrillers"
Movie,Just Say Yes,"Appie Boudellah, Aram van de Rest","Yolanthe Cabau, Noortje Herlaar, Kim-Lian van der Meij, Nienke Plas, Pip Pellens, Jim Bakkum, Huub Smit, Edwin Jonker",Netherlands,2021,TV-MA,98 min,"Comedies, International Movies, Romantic Movies"
Movie,Madame Claude,Sylvie Verheyde,"Karole Rocher, Garance Marillier, Roschdy Zem, Pierre Deladonchamps, Liah O'Prey, Paul Hamy, Mylène Jampanoï, Hafsia Herzi, Regina Anikiy, Annabelle Belmondo, Joséphine de La Baume",France,2021,TV-MA,113 min,"Dramas, International Movies"
Movie,Wild Child,Nick Moore,"Emma Roberts, Kimberley Nixon, Juno Temple, Linzey Cocker, Sophie Wu, Alex Pettyfer, Georgia King, Natasha Richardson, Aidan Quinn, Lexi Ainsworth","United States, United Kingdom, France",2008,PG-13,98 min,"Comedies, Romantic Movies"
Movie,Woody Woodpecker,Alex Zamm,"Timothy Omundson, Thaila Ayala, Eric Bauza, Graham Verchere, Jordana Largy, Scott McNeil, Adrian Glynn McMorran, Chelsea Miller, Sean Tyson",United States,2017,PG,91 min,"Children & Family Movies, Comedies"
Movie,2012,Roland Emmerich,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily",United States,2009,PG-13,158 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",India,2009,PG-13,164 min,"Comedies, Dramas, International Movies"
Movie,Ferrari Ki Sawaari,Rajesh Mapuskar,"Sharman Joshi, Boman Irani, Ritwik Sahore, Paresh Rawal, Deepak Shirke, Satyadeep Misra, Aakash Dabhade, Nilesh Diwekar, Vidya Balan",India,2012,TV-PG,133 min,"Comedies, International Movies, Sports Movies"
Movie,Insidious,James Wan,"Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins, Barbara Hershey, Leigh Whannell, Angus Sampson, Andrew Astor, Joseph Bishara","United States, Canada",2010,PG-13,103 min,"Horror Movies, Thrillers"
Movie,Into the Grizzly Maze,David Hackl,"James Marsden, Thomas Jane, Billy Bob Thornton, Piper Perabo, Scott Glenn, Michaela McManus, Adam Beach, Kelly Curran","United States, Canada",2015,R,90 min,"Action & Adventure, Horror Movies"
Movie,Kingsglaive: Final Fantasy XV,Takeshi Nozue,"Aaron Paul, Lena Headey, Sean Bean, Adrian Bouchet, Liam Mulvey, Alexa Kahn, Todd Haberkorn, John DeMita, David Gant, Darin De Paul","Japan, United States",2016,PG-13,116 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,Legally Blonde,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge",United States,2001,PG-13,96 min,"Comedies, Romantic Movies"
Movie,Madam Chief Minister,Subhash Kapoor,"Richa Chadda, Saurabh Shukla, Manav Kaul, Shubrajyoti Barat, Akshay Oberoi, Boloram Das, Nikhil Vijay, Raviza Chauhan",India,2020,TV-14,121 min,"Dramas, International Movies"
Movie,Maximum Risk,Ringo Lam,"Jean-Claude Van Damme, Natasha Henstridge, Jean-Hugues Anglade, Zach Grenier, Paul Ben-Victor, Frank Senger, Stéphane Audran",United States,1996,R,101 min,Action & Adventure
Movie,My Fair Lady,George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfred Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland, Alan Napier, Marni Nixon",United States,1964,G,173 min,"Classic Movies, Music & Musicals"
Movie,S.W.A.T.: Under Siege,Tony Giglio,"Sam Jaeger, Michael Jai White, Adrianne Palicki, Ty Olsson, Kyra Zagorsky, Olivia Cheng, Lisa Chandler, Monique Ganderton, Matthew Marsden, Chris Gauthier",United States,2017,R,89 min,"Action & Adventure, International Movies"
Movie,Seven Souls in the Skull Castle: Season Flower,Hidenori Inoue,"Shun Oguri, Koji Yamamoto, Songha, Ryo, Munetaka Aoki, Nana Seino, Yoshimasa Kondo, Arata Furuta",Japan,2017,TV-14,181 min,"Action & Adventure, Dramas, International Movies"
Movie,Sniper: Ghost Shooter,Don Michael Paul,"Chad Michael Collins, Billy Zane, Dennis Haysbert, Nick Gomez, Ravil Isyanov, Stephanie Vogt, Navid Negahban, Presciliana Esparolini, Enoch Frost",United States,2016,R,99 min,Action & Adventure
Movie,Starship Troopers: Traitor of Mars,"Shinji Aramaki, Masaru Matsumoto","Casper Van Dien, Dina Meyer, DeRay Davis, Justin Doran, Luci Christian, Emily Neves, Scott Gibbs, Juliet Simmons, Chris Gibson, Greg Ayres","United States, Japan",2017,R,88 min,"Action & Adventure, Sci-Fi & Fantasy"
Movie,Takers,John Luessenhop,"Matt Dillon, Paul Walker, Chris Brown, Idris Elba, Jay Hernandez, Hayden Christensen, Michael Ealy, T.I., Marianne Jean-Baptiste, Zoe Saldana, Steve Harris, Johnathon Schaech",United States,2010,PG-13,107 min,Action & Adventure
Movie,Tersanjung the Movie,"Hanung Bramantyo, Pandu Adjisurya","Clara Bernadeth, Giorgino Abraham, Kevin Ardilova, Nugie, Kinaryosih, Marthino Lio, Djenar Maesa Ayu, Ernanto Kusuma, Sacha Stevenson",Indonesia,2021,TV-14,114 min,"Dramas, International Movies, Romantic Movies"
Movie,The Knight and the Princess,Bashir El Deek,"Sedky Sakhr, Hashem El Garhy, Shahira Kamal, Aiemzy, Hani R. Eskander, Saif Abu-Kandil","Egypt, Saudi Arabia",2019,TV-PG,96 min,"Action & Adventure, International Movies, Music & Musicals"
Movie,The Pianist,Roman Polański,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard, Julia Rayner, Jessica Kate Meyer, Ronan Vibert, Ruth Platt","United Kingdom, France, Poland, Germany, United States",2002,R,149 min,"Dramas, Independent Movies, International Movies"
Movie,The Stepfather,Nelson McCormick,"Dylan Walsh, Sela Ward, Penn Badgley, Amber Heard, Sherry Stringfield, Paige Turco, Jon Tenney, Nancy Linehan Charles, Marcuis Harris, Braeden Lemasters, Deirdre Lovejoy",United States,2009,PG-13,102 min,"Horror Movies, Thrillers"
Movie,Universal Soldier: The Return,Mic Rodgers,"Jean-Claude Van Damme, Michael Jai White, Heidi Schanz, Xander Berkeley, Justin Lazard, Kiana Tom, Daniel von Bargen, James Black, Karis Paige Bryant, Bill Goldberg",United States,1999,R,83 min,Action & Adventure
Movie,Wazir,Bejoy Nambiar,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, Manav Kaul, Neil Nitin Mukesh, John Abraham",India,2016,TV-14,98 min,"Dramas, International Movies, Thrillers"
Movie,White Boy,Shawn Rech,Richard Wershe Jr.,United States,2017,TV-MA,83 min,Documentaries
Movie,Yes Man,Peyton Reed,"Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins, Rhys Darby, Danny Masterson, Fionnula Flanagan, Terence Stamp, Sasha Alexander, Molly Sims","United States, United Kingdom",2008,PG-13,104 min,"Comedies, Romantic Movies"
Movie,At Eternity's Gate,Julian Schnabel,"Willem Dafoe, Rupert Friend, Oscar Isaac, Mads Mikkelsen, Mathieu Amalric, Emmanuelle Seigner, Niels Arestrup, Anne Consigny, Amira Casar, Vincent Perez, Lolita Chammah, Stella Schnabel, Vladimir Consigny","Ireland, Switzerland, United Kingdom, France, United States",2018,PG-13,111 min,Dramas
Movie,Not a Game,Jose Gomez,Brendon Mcdonnell,United Kingdom,2020,TV-MA,98 min,"Documentaries, International Movies, Sports Movies"
Movie,7 Yards: The Chris Norton Story,Jonathon Link,Chris Norton,United States,2021,TV-PG,93 min,Documentaries
Movie,Octonauts & the Ring of Fire,Blair Simmons,"Simon Greenall, Rob Rackstraw, Jo Wyatt, Paul Buckley, Simon Foster, Teresa Gallagher, Richard Grieve, Michael Murphy, Paul Panting, Keith Wickham","China, United Kingdom",2021,TV-Y,73 min,Children & Family Movies
Movie,Mandela: Long Walk to Freedom,Justin Chadwick,"Idris Elba, Naomie Harris, Tony Kgoroge, Riaad Moosa, Zolani Mkiva, Simo Mogwaza, Fana Mokoena, Thapelo Mokoena, Jamie Bartlett, Deon Lotz, Terry Pheto, Mark Elderkin","United Kingdom, South Africa, France",2013,PG-13,141 min,"Dramas, International Movies"
Movie,Lawless,John Hillcoat,"Shia LaBeouf, Jessica Chastain, Jason Clarke, Guy Pearce, Lew Temple, Gary Oldman, Tim Tolin, Dane DeHaan, Mia Wasikowska, Chris McGarry, Tom Hardy",United States,2012,R,116 min,Dramas
Movie,A Week Away,Roman White,"Kevin Quinn, Bailee Madison, Jahbril Cook, Kat Conner Sterling, Sherri Shepherd, David Koechner, Iain Tucker, Amy Grant",United States,2021,TV-PG,98 min,"Children & Family Movies, Faith & Spirituality, Music & Musicals"
Movie,Croupier,Mike Hodges,"Clive Owen, Kate Hardie, Alex Kingston, Gina McKee, Nicholas Ball, Nick Reding, Alexander Morton","Ireland, United Kingdom, France, Germany",1998,TV-MA,95 min,"Dramas, Independent Movies, Thrillers"
Movie,Keeping the Bees,Eylem Kaftan,"Meryem Uzerli, Feyyaz Duman, Hakan Karsak, Şennur Nogaylar, Burcu Salihoğlu",Turkey,2020,TV-14,93 min,"Dramas, International Movies"
Movie,Ni de coña,Fernando Ayllón,"Nathalie Seseña, Goyo Jiménez, José Juan Vaquero, Jordi Sánchez, Ricardo Quevedo, Carolina Noriega, Max Marieges, Kikín Fernández, Norma Nivia, Moi Camacho",Spain,2020,TV-MA,97 min,"Comedies, International Movies"
Movie,Pagglait,Umesh Bist,"Sanya Malhotra, Sayani Gupta, Ashutosh Rana, Raghuvir Yadav, Shruti Sharma, Sheeba Chaddha, Natasha Rastogi, Rajesh Tailang, Meghna Malik, Jameel Khan, Chetan Sharma, Ananya Khare, Bhupesh Pandya",India,2021,TV-PG,114 min,"Comedies, Dramas, International Movies"
